NOMOR ACCOUNT,NAMA DEBITUR,NAMA KREDITUR,KANTOR CABANG,KANWIL,KELOLAAN TERBIT SPK,JENIS KREDIT,ALAMAT AGUNAN,ALAMAT KTP DEBITUR,ALAMAT KANTOR DEBITUR,NOMOR HP 1 DEBITUR,NOMOR HP 2 DEBITUR,NOMOR TELEPON KANTOR,NAMA EMERGENCY KONTAK,NOMOR TELEPON EMERGENCY KONTAK,ALAMAT EMERGENCY KONTAK,PLAFOND AWAL,TANGGAL REALISASI,TANGGAL JATUH TEMPO,SALDO POKOK,TUNGGAKAN BUNGA,TUNGGAKAN DENDA,TUNGGAKAN ANGSURAN,TOTAL TUNGGAKAN,LUNAS TUNGGAKAN,LUNAS KREDIT
1401010207207,ARGA PUTRA PRATAMA,BTN,Jakarta Harmoni,Jakarta 1,PASIF,KPR NON SUBSIDI,CLUSTER MELATI HILLS LA 6 CILEUNGSI BOGOR,JALAN KEMBANG 4 NO 17 RT 009 RW 009 KEL MEKARJAYA KEC SUKMAJAYA Mekarjaya DEPOK 16431,PT SOPHIE PARIS SOPHIE BUILDING JALAN ADIYAKSA RAYA NO 33 Lebak Bulus JAKARTA SELATAN 12440,081317799555,081574951544,021-7891234,OLIVIA (SEPUPU),08976400427,KAMPUNG CIKETING BARAT RT 002 RW 003 CIKETING UDIK BANTAR GEBANG Ds Ciketik Udik BEKASI 17153,541800000,09-Sep-16,07-Oct-44,514718279,104565962,14521111,112433600,231520673,231520673,731717841
1401010308412,NOVI WIDIYANTI,BSI,Jakarta Harmoni,Jakarta 1,AKTIF,KPR SUBSIDI,PERUM GRIYA ASRI BLOK B2 NO 15 TAMBUN BEKASI,JALAN RAYA JATIWARINGIN NO 88 RT 003 RW 007 KEL JATIWARINGIN KEC PONDOKGEDE Jatiwaringin BEKASI 17411,PT TELKOM INDONESIA GEDUNG TELKOM JALAN GATOT SUBROTO KAV 52 Kuningan JAKARTA SELATAN 12710,085812345678,-,021-52961234,CITRA ASRI BUANA (SUZUKI),089876543210,JALAN RAYA MUSTIKA JAYA NO 50 RT 005 RW 002 MUSTIKA JAYA Ds Mustikajaya BEKASI 17158,285000000,15-Mar-18,15-Mar-33,268500000,45678900,8901234,52340000,106920134,106920134,377020134
1401010415623,SYAHRIZAL NOERDIN,BNI,Depok,Jakarta 2,PASIF,KREDIT PEGAWAI,Kredit Tanpa Agunan,JALAN MARGONDA RAYA NO 100 BLOK C3 RT 010 RW 004 KEL KEMIRI MUKA KEC BEJI Kemiri Muka DEPOK 16424,-,081290332029,-,DEWI RATNASARI (ISTRI),081234567890,JALAN MARGONDA RAYA NO 100 BLOK C3 RT 010 RW 004 KEL KEMIRI MUKA KEC BEJI Kemiri Muka DEPOK 16424,150000000,22-Jan-20,22-Jan-25,128750000,32456789,5678901,28900000,67035690,67035690,195935690
1401010527834,MUHAMMAD RIZKI FAUZAN,BTN,Bogor,Jawa Barat 1,AKTIF,KPR NON SUBSIDI,PERUMAHAN SENTUL CITY BLOK A5 NO 22 SENTUL BOGOR,JALAN PAKUAN NO 15 RT 002 RW 006 KEL BARANANGSIANG KEC BOGOR TIMUR Baranangsiang BOGOR 16143,PT ASTRA HONDA MOTOR JALAN LAKSDA YOS SUDARSO SUNTER AGUNG Jakarta Utara JAKARTA 14350,087812345678,081574951545,0251-8311234,AHMAD FAUZI (AYAH),082345678901,JALAN PAKUAN NO 17 RT 002 RW 006 KEL BARANANGSIANG KEC BOGOR TIMUR Baranangsiang BOGOR 16143,675000000,11-Jul-17,11-Jul-42,638900000,87654321,12345678,95000000,195000000,195000000,833900000
1401010639045,DEWI KARTIKA SARI,BSI,Tangerang,Banten 1,AKTIF,KPR SUBSIDI,PERUMAHAN BINTARO JAYA SEKTOR 9 BLOK J7 NO 12 TANGERANG SELATAN,JALAN BINTARO UTAMA SEKTOR 3A BLOK J NO 8 RT 001 RW 012 KEL PONDOK JAYA KEC PONDOK AREN Pondok Jaya TANGERANG SELATAN 15228,PT UNILEVER INDONESIA GRAHA UNILEVER JALAN GATOT SUBROTO KAV 15 Setiabudi JAKARTA SELATAN 12930,081234567891,089912345678,021-52961235,RINI HANDAYANI (KAKAK),087654321098,JALAN BINTARO UTAMA SEKTOR 3A BLOK J NO 10 RT 001 RW 012 KEL PONDOK JAYA Pondok Jaya TANGERANG SELATAN 15228,325000000,05-Apr-19,05-Apr-34,298000000,38765432,6789012,42100000,87654444,87654444,383654444
1401010741256,IRFAN HAKIM WIJAYA,BNI,Bandung Kopo,Jawa Barat 2,PASIF,KPR NON SUBSIDI,PERUMAHAN KOTA BARU PARAHYANGAN BLOK E3 NO 8 PADALARANG BANDUNG BARAT,JALAN KOPO NO 456 RT 007 RW 003 KEL SUKA ASIH KEC BOJONGLOA KALER Suka Asih BANDUNG 40232,PT KERETA API INDONESIA JALAN PERINTIS KEMERDEKAAN NO 1 Babakan Ciamis BANDUNG 40117,085678901234,-,022-6031234,SARI WULANDARI (ISTRI),081345678902,JALAN KOPO NO 458 RT 007 RW 003 KEL SUKA ASIH KEC BOJONGLOA KALER Suka Asih BANDUNG 40232,890000000,18-Nov-15,18-Nov-40,845000000,125678901,18901234,130000000,274580135,274580135,1119580135
1401010852467,RATNA AYU LESTARI,BTN,Semarang,Jawa Tengah 1,AKTIF,KPR SUBSIDI,PERUMAHAN BSB CITY BLOK C12 NO 5 MIJEN SEMARANG,JALAN PANDANARAN NO 35 RT 004 RW 008 KEL PEKUNDEN KEC SEMARANG TENGAH Pekunden SEMARANG 50134,PT PERTAMINA (PERSERO) JALAN PEMUDA NO 72 Sekayu SEMARANG 50132,081567890123,087890123456,024-3541234,BAMBANG SUPRIYADI (SUAMI),089012345678,JALAN PANDANARAN NO 37 RT 004 RW 008 KEL PEKUNDEN KEC SEMARANG TENGAH Pekunden SEMARANG 50134,195000000,20-Aug-21,20-Aug-36,178500000,22345678,3456789,25600000,51402467,51402467,229902467
1401010963678,WAHYU SETIAWAN,BSI,Surabaya Gubeng,Jawa Timur 1,AKTIF,KREDIT PEGAWAI,Kredit Tanpa Agunan,JALAN GUBENG POJOK NO 12 RT 003 RW 005 KEL GUBENG KEC GUBENG Gubeng SURABAYA 60281,PT PLN (PERSERO) DISTRIBUSI JAWA TIMUR JALAN EMBONG TRENGGULI NO 19-21 Genteng SURABAYA 60271,082345678903,-,031-5311234,LISA PERMATA (ADIK),081456789012,JALAN GUBENG POJOK NO 14 RT 003 RW 005 KEL GUBENG KEC GUBENG Gubeng SURABAYA 60281,120000000,14-Feb-22,14-Feb-27,105300000,18765432,2890123,15500000,37155555,37155555,142455555
1401011074889,FITRI HANDAYANI,BNI,Yogyakarta,DIY 1,PASIF,KPR NON SUBSIDI,PERUMAHAN CASA GRANDE BLOK D2 NO 18 CONDONGCATUR SLEMAN,JALAN MALIOBORO NO 60 RT 001 RW 002 KEL SOSROMENDURAN KEC GEDONGTENGEN Sosromenduran YOGYAKARTA 55122,PT GUDANG GARAM JALAN JENDRAL A YANI NO 79 Ds Kediri KEDIRI 64101,083456789012,081678901234,0274-561234,AGUS PRABOWO (AYAH),087890123457,JALAN MALIOBORO NO 62 RT 001 RW 002 KEL SOSROMENDURAN KEC GEDONGTENGEN Sosromenduran YOGYAKARTA 55122,580000000,27-Jun-16,27-Jun-41,542000000,78901234,11234567,82000000,172135801,172135801,742135801
1401011186090,DIAN PUSPITA NINGRUM,BTN,Medan Pusat,Sumatera Utara 1,AKTIF,KPR SUBSIDI,PERUMAHAN HELVETIA RESIDENCE BLOK F3 NO 7 HELVETIA MEDAN,JALAN IMAM BONJOL NO 20 RT 005 RW 003 KEL PETISAH TENGAH KEC MEDAN PETISAH Petisah Tengah MEDAN 20152,PT BANK SUMUT JALAN IMAM BONJOL NO 18 Petisah Tengah MEDAN 20152,084567890123,-,061-4531234,RAHMAN HARAHAP (KAKAK),082567890123,JALAN IMAM BONJOL NO 22 RT 005 RW 003 KEL PETISAH TENGAH KEC MEDAN PETISAH Petisah Tengah MEDAN 20152,245000000,03-Dec-20,03-Dec-35,228000000,28901234,4567890,31200000,64669124,64669124,292669124
